NamePlanet,NamePlanet_link,star_name,AltName,RAdeg,DECdeg,RadiusPlanet_EU,orbital_period_EU,semi_major_axis_EU,eccentricity_EU,inclination_EU,omega_EU,tzero_tr_EU,log_g_EU,magK_EU,star_Metallicity_EU,star_Radius_EU,star_Teff_EU,Tstar_Ex,FeH_star_Ex,Rstar_Ex,loggstar_Ex,semimajoraxis_Ex,Rpl_Ex
Kepler-49 e,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=337,KOI-248,Kepler-49,292.294564,40.59179384,0.139,18.596108,0.116,,,,,,,,0.53,3974,,,,,,
Kepler-218 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=309,KOI-711,Kepler-218,295.4128279,46.26649028,0.132,3.619337,0.046,,,,,,12.311,0.194,1.06,5502,,,,,,
Kepler-218 c,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=310,KOI-711,Kepler-218,295.4128279,46.26649028,0.28,44.699576,0.248,,,,,,12.311,0.194,1.06,5502,,,,,,
Kepler-218 d,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=311,KOI-711,Kepler-218,295.4128279,46.26649028,0.237,124.5244647,,,,,,,12.311,0.194,1.06,5502,,,,,,
Kepler-598 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=344,KOI-555.02,KOI-555.02,293.1234289,40.93477344,0.134,3.70175428,,,,,,,12.931,0.02,0.86,5307,,,,,,
Kepler-538 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=343,KOI-365.01,Kepler-538,297.486878,49.62343217,0.202,81.73780699,,,,,,,9.645,-0.05,0.9,5650,,,,,,
Kepler-482 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=333,KOI-174.01,Kepler-482,296.8228543,48.10755366,0.211,56.35418576,,,,,,,11.536,-0.13,0.72,4871,,,,,,
HAT-P-11 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=220,BD+47  2936,HAT-P-11,297.7093621,48.0808614,0.389,4.887802443,0.053,0.265,89.05,198,2454605.89132,,,0.31,0.683,4780,4780,0.31,0.69,4.66,0.05,0.4
HAT-P-11 c,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=221,BD+47  2936,HAT-P-11,297.7093621,48.0808614,,3407,4.13,0.601,,143.7,,,,0.31,0.683,4780,4780,0.31,0.69,4.66,,
Kepler-786 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=356,KOI-1199.01,Kepler-786 b,293.7439487,38.93926744,0.217,53.5293487,,,,,,,12.706,0.09,0.74,4838,,,,,,
Kepler-61 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=345,Kepler-61,Kepler-61,295.3045074,42.47527421,0.192,59.87756,0.27,0.25,89.8,,2454984.188,,,0.03,0.62,4017,,,,,,
Kepler-125 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=280,KOI-251,Kepler-125,298.2581059,47.60495737,0.211,4.164389,0.041,,,,,,11.682,0.126,0.51,3810,,,,,,
Kepler-125 c,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=281,KOI-251,Kepler-125,298.2581059,47.60495737,0.066,5.774464,0.051,,,,,,11.682,0.126,0.51,3810,,,,,,
Kepler-32 b,http://svo2.cab.inta-csic.es/vocats/v2/exostars/fichas/?id=324,KOI-952,Kepler-32,297.8423926,46.57427492,0.37,5.90124,0.05,,,,2454974.902,,,,0.53,3900,,,,,,
