planet_name;visit;observation;ephemeris;ephemeris_error;period;period_error;expstart;exptime;phase_error;number_of_periods 
55Cnce;14453.01; eclipse;2455733.013;7.00E-03;2.808;2.00E-03;57473.17687;8.775;4.42E-01;620
55Cnce;14453.02; eclipse;2455733.013;7.00E-03;2.808;2.00E-03;57478.34355;8.775;4.43E-01;622
55Cnce;14453.03; eclipse;2455733.013;7.00E-03;2.808;2.00E-03;57485.69619;8.775;4.45E-01;624
55Cnce;14453.04; eclipse;2455733.013;7.00E-03;2.808;2.00E-03;57491.59099;8.775;4.46E-01;626
WASP-121b;14468.01; transit;2456635.708;1.10E-04;1.2749255;2.00E-07;57424.20342;103.129;9.71E-05;619
TRAPPIST-1b;14500.01; transit with an additional transit by TRAPPIST-1c;2457322.517;1.00E-04;1.51087081;6.00E-07;57512.2353;112.008;5.00E-05;126
HAT-P-7b;14792.02; eclipse;2454731.68;2.30E-04;2.2047304;2.40E-06;57756.99973;103.129;1.49E-03;1372
HAT-P-7b;14792.01; eclipse;2454731.68;2.30E-04;2.2047304;2.40E-06;57745.98215;103.129;1.49E-03;1367
HAT-P-11b;14793.01; transit;2454957.813;2.80E-05;4.88781501;6.80E-07;57645.44812;81.089;7.65E-05;550
HAT-P-11b;14793.02; transit;2454957.813;2.80E-05;4.88781501;6.80E-07;57674.95162;81.089;7.74E-05;556
HAT-P-11b;14793.04; transit;2454957.813;2.80E-05;4.88781501;6.80E-07;57699.22351;81.089;7.80E-05;561
HAT-P-11b;14793.05; transit;2454957.813;2.80E-05;4.88781501;6.80E-07;57719.00017;81.089;7.86E-05;565
HAT-P-11b;14793.06; transit;2454957.813;2.80E-05;4.88781501;6.80E-07;57748.10191;81.089;7.94E-05;571
WASP-63b;14642.01; transit;2455921.653;5.00E-04;4.37808;6.00E-06;57650.24084;103.129;5.41E-04;395
WASP-6b;14767.35; transit;2454425.022;1.10E-04;3.36101;2.80E-06;57879.45809;184.223;8.56E-04;1028
WASP-62b;14767.31; transit;2455855.392;2.70E-04;4.41195;3.00E-06;57857.74267;138.381;3.09E-04;454
WASP-101b;14767.01; transit;2456164.694;2.00E-04;3.585722;4.00E-06;57662.83098;138.381;4.66E-04;418
WASP-79b;14767.26; transit;2455545.236;1.50E-03;3.6623866;8.50E-06;57815.22869;138.381;1.44E-03;620
WASP-79b;14767.12; eclipse;2455545.236;1.50E-03;3.6623866;8.50E-06;57707.19961;138.381;1.37E-03;590
HAT-P-32b;14767.16; eclipse;2454420.446;9.00E-05;2.150008;1.00E-06;57740.4417;88.436;7.18E-04;1544
WASP-74b;14767.02; transit;2456506.893;2.00E-04;2.13775;1.00E-06;57667.03846;69.617;2.54E-04;543
WASP-74b;14767.33; eclipse;2456506.893;2.00E-04;2.13775;1.00E-06;57875.47736;69.617;3.00E-04;640
HAT-P-41b;14767.03; eclipse;2454983.862;1.10E-03;2.694047;4.00E-06;57670.4849;81.089;1.48E-03;997
HAT-P-41b;14767.04; transit;2454983.862;1.10E-03;2.694047;4.00E-06;57677.23929;81.089;1.48E-03;1000
KELT-7b;14767.62; transit;2456355.23;1.98E-04;2.7347749;3.90E-06;58044.64311;22.317;8.81E-04;618
KELT-7b;14767.52; eclipse;2456355.23;1.98E-04;2.7347749;3.90E-06;57983.18765;22.317;8.49E-04;595
WASP-76b;14767.08; eclipse;2456107.855;3.40E-04;1.809886;1.00E-06;57695.33866;103.129;4.85E-04;877
WASP-121b;14767.1; eclipse;2456635.708;1.10E-04;1.2749255;2.00E-07;57702.77381;103.129;1.31E-04;837
KELT-1b;14664.01; phase curve including 1 partial transits 1 partial transits;2456093.135;1.90E-04;1.21749448;8.00E-07;57675.39176;103.129;8.54E-04;1300
KELT-1b;14664.02; phase curve including 1 eclipses;2456093.135;1.90E-04;1.21749448;8.00E-07;57711.10058;103.129;8.73E-04;1329
KELT-1b;14664.04; phase curve including 1 partial transits 1 partial transits;2456093.135;1.90E-04;1.21749448;8.00E-07;57715.47481;103.129;8.76E-04;1333
KELT-1b;14664.03; phase curve including 1 transits;2456093.135;1.90E-04;1.21749448;8.00E-07;57712.95321;103.129;8.74E-04;1331
WASP-127b;14619.02; transit;2457248.741;1.60E-04;4.178062;2.00E-06;58217.37242;95.782;1.11E-04;232
GJ1132b;14758.01; transit;2457184.558;3.20E-04;1.628931;2.70E-05;57861.54403;103.129;6.89E-03;416
GJ1132b;14758.02; transit;2457184.558;3.20E-04;1.628931;2.70E-05;58019.74547;103.129;8.50E-03;513
GJ1132b;14758.03; transit;2457184.558;3.20E-04;1.628931;2.70E-05;58076.57406;103.129;9.08E-03;548
GJ1132b;14758.04; transit;2457184.558;3.20E-04;1.628931;2.70E-05;58079.82675;103.129;9.11E-03;550
GJ1132b;14758.05; transit;2457184.558;3.20E-04;1.628931;2.70E-05;58083.07216;103.129;9.15E-03;552
K2-18b;14682.03; transit;2456836.172;1.10E-03;32.9418;2.10E-03;57757.82526;103.129;1.78E-03;28
K2-18b;14682.05; transit;2456836.172;1.10E-03;32.9418;2.10E-03;57790.74368;103.129;1.85E-03;29
K2-18b;14682.02; transit;2456836.172;1.10E-03;32.9418;2.10E-03;57724.84165;103.129;1.72E-03;27
K2-18b;14682.08; transit;2456836.172;1.10E-03;32.9418;2.10E-03;57856.64374;103.129;1.98E-03;31
K2-18b;14682.1; transit;2456836.172;1.10E-03;32.9418;2.10E-03;58087.17692;103.129;2.42E-03;38
K2-18b;14682.13; partial transit;2456836.172;1.10E-03;32.9418;2.10E-03;58251.86368;103.129;2.74E-03;43
K2-3d;14682.04; transit;2456826.223;3.70E-03;44.5631;6.30E-03;57761.20327;103.129;2.97E-03;21
K2-3d;14682.01; transit;2456826.223;3.70E-03;44.5631;6.30E-03;57716.62562;103.129;2.83E-03;20
K2-3d;14682.06; transit;2456826.223;3.70E-03;44.5631;6.30E-03;57805.77932;103.129;3.11E-03;22
K2-3d;14682.07; transit;2456826.223;3.70E-03;44.5631;6.30E-03;57850.49933;103.129;3.25E-03;23
K2-3d;14682.09; transit;2456826.223;3.70E-03;44.5631;6.30E-03;58073.22946;103.129;3.96E-03;28
K2-3d;14682.11; transit with an additional transit by K2-3c;2456826.223;3.70E-03;44.5631;6.30E-03;58117.63656;103.129;4.10E-03;29
K2-3d;14682.12; transit;2456826.223;3.70E-03;44.5631;6.30E-03;58162.20644;103.129;4.24E-03;30
TRAPPIST-1d;14873.01; transit with an additional transit by TRAPPIST-1f;2457670.142;3.50E-04;4.04961;6.30E-05;57725.99999;112.008;2.17E-04;14
